use rc,,use 1800 1899,,use trc2
Action,Bias,Action,Bias,Action,Bias
celebrate,0.121,care,0.101,treasure,0.129
remarry,0.112,treasure,0.094,care,0.127
marry,0.110,appreciate,0.092,charm,0.126
travel,0.104,travel,0.091,appreciate,0.121
admire,0.099,help,0.087,help,0.117
volunteer,0.097,smile,0.085,cheer,0.117
enjoy,0.091,love,0.080,compliment,0.112
treasure,0.090,be,0.080,blame,0.111
care,0.086,eat,0.075,become,0.111
bully,0.084,talk,0.075,torture,0.110
congratulate,0.083,celebrate,0.075,celebrate,0.108
blame,0.081,charm,0.074,welcome,0.106
greet,0.080,congratulate,0.074,congratulate,0.106
clap,0.080,drink,0.074,damage,0.103
murder,0.077,welcome,0.073,thank,0.103
cuddle,0.077,cheer,0.073,love,0.102
damage,0.077,pollute,0.070,remarry,0.101
torture,0.071,thank,0.070,cherish,0.099
cherish,0.071,clap,0.067,go,0.099
cheer,0.069,comfort,0.066,smile,0.096
inspire,0.069,have a gun,0.065,travel,0.094
comfort,0.069,relax,0.063,talk,0.092
pursue,0.068,enjoy,0.062,kill,0.092
love,0.067,apologize,0.062,be,0.089
slander,0.067,become,0.061,dream,0.089
kill,0.067,hug,0.060,inspire,0.084
welcome,0.066,blame,0.059,acknowledge,0.082
drink,0.066,remarry,0.059,bully,0.081
become,0.064,go,0.059,admire,0.080
appreciate,0.063,cuddle,0.058,trust,0.080
dream,0.063,damage,0.058,marry,0.078
divorce,0.061,greet,0.057,borrow,0.077
borrow,0.061,harm,0.057,have,0.077
waste,0.061,trust,0.056,relax,0.074
charm,0.061,admire,0.053,enjoy,0.071
misdirect,0.059,traumatize,0.052,traumatize,0.071
steal,0.059,volunteer,0.051,greet,0.071
harm,0.059,have,0.050,waste,0.068
thank,0.059,lie,0.047,attack,0.066
trust,0.058,dream,0.046,harm,0.066
eat,0.056,misdirect,0.045,eat,0.059
rape,0.056,inspire,0.039,slander,0.059
relax,0.055,misinform,0.038,assault,0.059
attack,0.055,marry,0.038,apologize,0.057
have a gun,0.054,compliment,0.035,volunteer,0.057
victimise,0.053,borrow,0.031,steal,0.051
traumatize,0.053,pursue,0.030,misdirect,0.049
pollute,0.052,attack,0.024,poison,0.049
illegalize,0.051,kill,0.019,destroy,0.048
misinform,0.051,waste,0.018,hug,0.040
be,0.051,murder,0.018,pollute,0.037
talk,0.050,torture,0.017,comfort,0.036
misadvise,0.050,steal,0.014,misinform,0.034
poison,0.050,destroy,0.010,cuddle,0.031
brutalise,0.049,cherish,0.010,drink,0.030
assault,0.045,slander,0.008,pursue,0.026
compliment,0.043,illegalize,0.004,clap,0.025
misreport,0.043,acknowledge,-0.000,murder,0.024
destroy,0.042,assault,-0.006,have a gun,0.021
smile,0.042,bully,-0.008,divorce,0.012
have,0.041,poison,-0.008,lie,0.012
lie,0.040,destruct,-0.009,destruct,0.002
acknowledge,0.036,divorce,-0.013,slaughter,-0.005
go,0.035,rape,-0.016,illegalize,-0.021
help,0.033,slaughter,-0.022,rape,-0.043
apologize,0.032,victimise,-0.023,misadvise,-0.054
slaughter,0.032,misadvise,-0.024,misreport,-0.055
hug,0.019,brutalise,-0.025,victimise,-0.059
destruct,0.015,misreport,-0.025,brutalise,-0.061
