use rc,,use 1800 1899,,use trc2
Action,Bias,Action,Bias,Action,Bias
have a gun,0.054,compliment,0.035,volunteer,0.057
victimise,0.053,borrow,0.031,steal,0.051
traumatize,0.053,pursue,0.030,misdirect,0.049
pollute,0.052,attack,0.024,poison,0.049
illegalize,0.051,kill,0.019,destroy,0.048
misinform,0.051,waste,0.018,hug,0.040
be,0.051,murder,0.018,pollute,0.037
talk,0.050,torture,0.017,comfort,0.036
misadvise,0.050,steal,0.014,misinform,0.034
poison,0.050,destroy,0.010,cuddle,0.031
brutalise,0.049,cherish,0.010,drink,0.030
assault,0.045,slander,0.008,pursue,0.026
compliment,0.043,illegalize,0.004,clap,0.025
misreport,0.043,acknowledge,-0.000,murder,0.024
destroy,0.042,assault,-0.006,have a gun,0.021
smile,0.042,bully,-0.008,divorce,0.012
have,0.041,poison,-0.008,lie,0.012
lie,0.040,destruct,-0.009,destruct,0.002
acknowledge,0.036,divorce,-0.013,slaughter,-0.005
go,0.035,rape,-0.016,illegalize,-0.021
help,0.033,slaughter,-0.022,rape,-0.043
apologize,0.032,victimise,-0.023,misadvise,-0.054
slaughter,0.032,misadvise,-0.024,misreport,-0.055
hug,0.019,brutalise,-0.025,victimise,-0.059
destruct,0.015,misreport,-0.025,brutalise,-0.061
