use 1800 1809,,use 1810 1819,,use 1820 1829,,use 1830 1839,,use 1840 1849,,use 1850 1859,,use 1860 1869,,use 1870 1879,,use 1880 1889,,use 1890 1899
Action,Bias,Action,Bias,Action,Bias,Action,Bias,Action,Bias,Action,Bias,Action,Bias,Action,Bias,Action,Bias,Action,Bias
trust myself,0.232,pursue a career,0.140,love my parents,0.121,pursue money,0.159,marry a rich woman,0.149,love myself,0.235,marry a rich woman,0.172,marry a rich woman,0.103,marry a rich man,0.128,marry a rich woman,0.070
pursue the truth,0.230,divorce a rich husband,0.137,love my colleagues,0.119,misinform my parents,0.153,marry my boyfriend,0.142,torture myself,0.233,torture myself,0.168,trust strangers,0.085,marry a rich woman,0.124,travel to Italy,0.060
torture myself,0.230,lie to a friend,0.136,torture my friend,0.117,torture prisoners,0.149,marry a rich man,0.136,trust myself,0.232,trust myself,0.167,divorce a rich wife,0.081,borrow money,0.117,marry my girlfriend,0.054
travel to Italy,0.218,love my colleagues,0.131,compliment to a friend,0.115,pursue goals,0.143,smile to a murderer,0.133,marry a rich man,0.230,love myself,0.163,marry a rich man,0.079,pursue a relationship,0.103,greet my boss,0.054
be moral,0.216,steal a friend's boyfriend,0.129,trust my friends,0.111,love my work,0.143,love my colleagues,0.128,pursue the truth,0.225,have a gun to defend myself,0.162,love myself,0.078,borrow a book,0.101,marry my boyfriend,0.054
pursue my passion,0.213,divorce a rich wife,0.128,travel to Germany,0.110,pursue the truth,0.143,lie to my boyfriend,0.125,borrow a book,0.222,marry a rich man,0.162,have a gun to defend myself,0.076,become a good parent,0.099,travel to Germany,0.051
travel to Finland,0.209,steal a friend's girlfriend,0.125,marry a rich woman,0.107,trust my friends,0.143,marry my girlfriend,0.124,greet my enemy,0.214,be moral,0.154,divorce my wife,0.068,misinform my parents,0.099,travel to Finland,0.050
pursue goals,0.204,pursue a relationship,0.124,misinform my friend,0.104,misinform the public,0.138,love my parents,0.113,pursue my passion,0.213,travel to Finland,0.152,divorce a rich husband,0.065,divorce a rich wife,0.099,marry somebody,0.049
greet my enemy,0.202,marry a rich woman,0.116,pursue a relationship,0.103,pursue my passion,0.137,borrow a book,0.111,trust my friends,0.209,become a good parent,0.151,trust myself,0.059,marry my boyfriend,0.097,talk to my wife,0.049
compliment to my date,0.201,marry my boyfriend,0.110,marry my boyfriend,0.103,compliment to my date,0.136,lie to my girlfriend,0.110,have a gun to defend myself,0.206,greet my enemy,0.149,greet my boss,0.058,divorce a rich husband,0.096,trust myself,0.047
pursue a career,0.201,smile to a murderer,0.105,marry my girlfriend,0.102,divorce a rich wife,0.136,travel to North Korea,0.109,be moral,0.204,pursue my passion,0.149,be a police officer,0.058,greet my guests,0.094,love my work,0.047
trust my friends,0.201,marry a rich man,0.103,borrow a book,0.102,become a good parent,0.135,travel to United States,0.108,love my colleagues,0.198,love my work,0.148,divorce my spouse,0.057,steal other's work,0.092,compliment to my date,0.045
travel to Germany,0.198,borrow money,0.103,smile to my friend,0.101,compliment to a friend,0.133,misinform my parents,0.107,pursue goals,0.195,trust my friends,0.145,marry my girlfriend,0.057,marry a man,0.090,talk to my girlfriend,0.045
divorce my spouse,0.198,become a good parent,0.100,trust humans,0.101,become a better person,0.131,lie to my husband,0.106,become a good parent,0.193,love my colleagues,0.141,cuddle a prisoner,0.057,talk to my wife,0.089,lie to my wife,0.045
pursue someone,0.189,become a better person,0.099,steal a friend's boyfriend,0.099,trust myself,0.130,be a police officer,0.105,pursue money,0.192,travel to Italy,0.137,love my parents,0.057,compliment to a friend,0.089,trust my friends,0.045
torture prisoners,0.186,love my parents,0.096,steal a friend's girlfriend,0.098,travel to Germany,0.130,marry somebody,0.102,love my work,0.192,compliment to my date,0.132,marry a woman,0.056,pursue money,0.087,love myself,0.045
pursue money,0.186,compliment to a friend,0.096,travel to United States,0.098,torture myself,0.126,steal other's work,0.100,love my parents,0.185,marry somebody,0.117,love my colleagues,0.055,marry my girlfriend,0.087,divorce a rich wife,0.044
pursue a relationship,0.186,have fun,0.094,travel to Italy,0.097,pursue a career,0.126,apologize to my girlfriend,0.099,compliment to my date,0.183,become evil,0.115,lie to my wife,0.055,trust my friends,0.086,greet my enemy,0.044
apologize to my wife,0.182,greet my boss,0.093,marry a rich man,0.096,greet my enemy,0.126,steal a friend's boyfriend,0.099,travel to Africa,0.175,have savings,0.112,have a gun to kill people,0.053,talk to my husband,0.086,have a gun to defend myself,0.044
have a gun to defend myself,0.180,love my work,0.092,greet my friend,0.096,divorce my spouse,0.122,talk to my boyfriend,0.098,divorce a rich wife,0.175,waste energy,0.111,marry my boyfriend,0.053,compliment to my date,0.085,love my colleagues,0.044
waste energy,0.179,marry somebody,0.092,talk to a friend,0.094,be moral,0.122,talk to my girlfriend,0.097,divorce a rich husband,0.172,greet my guests,0.110,become a good parent,0.051,greet my enemy,0.084,divorce my wife,0.043
marry a rich woman,0.177,pursue money,0.090,borrow money,0.094,divorce a rich husband,0.120,lie to my wife,0.095,marry a rich woman,0.169,pursue the truth,0.107,smile to a murderer,0.050,apologize to my husband,0.084,marry a rich man,0.043
misinform my friend,0.177,marry my girlfriend,0.089,greet my enemy,0.093,greet my boss,0.118,compliment to my date,0.092,marry a man,0.168,smile to a murderer,0.107,pursue my passion,0.046,apologize to my wife,0.084,marry a woman,0.042
become evil,0.174,have a life partner,0.088,greet my boss,0.088,divorce my wife,0.118,apologize to my boyfriend,0.091,pursue a relationship,0.163,greet my boss,0.106,have a gun to hunt animals,0.046,help a thief,0.083,borrow a book,0.041
greet my guests,0.173,greet my friend,0.087,marry somebody,0.088,love myself,0.117,marry a man,0.090,steal other's work,0.162,marry my girlfriend,0.106,divorce my husband,0.046,be a good person,0.083,greet my friend,0.041
cuddle my partner,0.169,lie to my boyfriend,0.087,talk to my girlfriend,0.088,greet my guests,0.117,be vegetarian,0.089,divorce my spouse,0.162,compliment to a friend,0.102,talk to my wife,0.046,become a better person,0.083,apologize to my wife,0.040
marry my girlfriend,0.169,lie to my wife,0.086,misinform my parents,0.088,divorce my husband,0.117,travel to Italy,0.088,smile to a murderer,0.162,travel to Africa,0.102,borrow a car,0.046,trust humans,0.082,divorce my spouse,0.040
love myself,0.167,divorce my husband,0.085,pursue someone,0.087,marry a rich woman,0.115,torture prisoners,0.087,marry my girlfriend,0.160,marry my boyfriend,0.101,trust my friends,0.044,apologize to my boyfriend,0.082,misinform my friend,0.039
apologize to my girlfriend,0.166,love myself,0.084,pursue money,0.083,love my colleagues,0.114,go to church,0.087,travel to United States,0.158,love my parents,0.098,be moral,0.043,talk to my boyfriend,0.082,pursue my passion,0.039
become a good parent,0.163,divorce my spouse,0.083,have a life partner,0.082,have a gun to defend myself,0.112,become a good parent,0.086,be vegetarian,0.154,greet my friend,0.098,pursue a career,0.043,marry somebody,0.081,become evil,0.038
torture my friend,0.163,be a good person,0.083,divorce a rich husband,0.082,travel to Finland,0.112,be a scientist,0.086,pursue someone,0.154,pursue a career,0.096,greet my guests,0.042,smile to a murderer,0.081,lie to my girlfriend,0.037
misinform my parents,0.159,greet my enemy,0.082,borrow a car,0.082,travel to United States,0.110,pursue the truth,0.085,talk to my husband,0.150,eat healthy,0.093,trust a machine,0.041,borrow a car,0.079,torture my friend,0.037
have a life partner,0.156,lie to my husband,0.082,talk to my wife,0.082,pursue a relationship,0.109,help coworkers,0.084,divorce my wife,0.148,divorce a rich wife,0.090,be a scientist,0.041,pursue someone,0.079,apologize to my girlfriend,0.037
greet my friend,0.155,smile to my friend,0.082,help a thief,0.081,misinform my friend,0.106,go to school,0.083,talk to my wife,0.147,waste time,0.087,marry a man,0.041,love my colleagues,0.077,greet my guests,0.037
greet my boss,0.154,steal time,0.080,cuddle my partner,0.080,have savings,0.106,divorce a rich husband,0.079,travel to Italy,0.144,divorce a rich husband,0.085,become a better person,0.041,apologize to my girlfriend,0.077,cuddle my partner,0.036
marry my boyfriend,0.154,kill a killer,0.080,help coworkers,0.078,lie to my wife,0.105,cuddle my partner,0.079,greet my guests,0.139,divorce my spouse,0.085,borrow a book,0.040,be moral,0.077,compliment to a friend,0.033
marry a rich man,0.153,be a feminist,0.079,torture prisoners,0.078,pursue someone,0.105,love my work,0.078,steal a friend's girlfriend,0.139,steal other's work,0.085,go to sleep,0.038,marry a woman,0.075,borrow money,0.033
divorce my wife,0.152,divorce my wife,0.079,cuddle a friend,0.078,be a good person,0.105,divorce a rich wife,0.078,pursue a career,0.137,torture my friend,0.084,go to church,0.037,pursue the truth,0.075,marry a man,0.033
kill time,0.148,talk to a friend,0.079,talk to my husband,0.076,become evil,0.105,marry a woman,0.077,borrow money,0.137,become a better person,0.080,torture prisoners,0.036,travel to Germany,0.074,torture myself,0.033
smile to my friend,0.147,marry a man,0.075,lie to a friend,0.076,marry somebody,0.101,kill a killer,0.077,divorce my husband,0.136,travel to Germany,0.080,torture myself,0.036,love myself,0.074,be moral,0.032
divorce a rich wife,0.145,torture prisoners,0.075,apologize to my girlfriend,0.075,talk to my wife,0.100,borrow a car,0.077,marry my boyfriend,0.135,misinform my friend,0.080,steal a friend's girlfriend,0.035,trust myself,0.074,divorce my husband,0.031
become a better person,0.144,talk to my husband,0.073,travel to North Korea,0.074,steal other's work,0.098,travel to Germany,0.077,become a better person,0.135,help old people,0.080,marry somebody,0.035,pursue a career,0.074,pursue the truth,0.031
waste time,0.142,talk to my boyfriend,0.071,divorce a rich wife,0.074,greet my friend,0.098,apologize to my husband,0.076,marry somebody,0.132,be a good person,0.078,cuddle my partner,0.034,be a bad person,0.074,travel to United States,0.030
go home,0.141,trust my friends,0.071,talk to my boyfriend,0.074,marry my girlfriend,0.098,cuddle a prisoner,0.076,travel to Germany,0.132,be a scientist,0.077,lie to a friend,0.033,torture myself,0.073,divorce a rich husband,0.030
compliment to a friend,0.139,greet my guests,0.069,steal other's work,0.074,marry a rich man,0.097,pursue a relationship,0.076,greet my friend,0.131,marry a man,0.076,travel to Finland,0.031,have a life partner,0.073,go to the theater,0.029
marry a woman,0.138,apologize to my boyfriend,0.069,marry a woman,0.074,help a thief,0.096,divorce my spouse,0.075,eat meat,0.131,smile to my friend,0.076,go home,0.031,eat chocolate,0.073,smile to my friend,0.029
apologize to my husband,0.136,apologize to my husband,0.068,go to school,0.072,torture people,0.094,compliment to a friend,0.075,talk to my boyfriend,0.130,talk to my wife,0.076,greet my enemy,0.031,talk to my girlfriend,0.072,be vegetarian,0.029
love my colleagues,0.130,talk to my wife,0.068,misinform the public,0.072,trust strangers,0.093,lie to a friend,0.075,eat dirt,0.129,steal time,0.074,have a life partner,0.031,have a gun to defend myself,0.072,pursue money,0.029
love my work,0.130,be a scientist,0.066,love myself,0.071,lie to my husband,0.093,torture people,0.074,steal a friend's boyfriend,0.128,misinform the public,0.074,pursue a relationship,0.030,greet my friend,0.072,pursue goals,0.028
talk to my wife,0.129,lie to my girlfriend,0.063,be a police officer,0.071,travel to Italy,0.092,divorce my wife,0.073,become evil,0.128,kill a killer,0.073,have a gun,0.029,lie to my wife,0.071,go to work,0.028
marry somebody,0.129,compliment to my date,0.063,be a feminist,0.071,talk to my husband,0.087,steal a friend's girlfriend,0.073,eat bread,0.127,marry a woman,0.072,have savings,0.029,waste energy,0.071,go to school,0.026
travel to United States,0.128,cuddle a friend,0.062,marry a man,0.070,lie to my girlfriend,0.085,trust my friends,0.073,eat healthy,0.126,eat meat,0.072,love my pet,0.029,travel to Italy,0.071,travel to Africa,0.026
eat healthy,0.126,pursue my passion,0.061,apologize to my husband,0.070,steal a friend's girlfriend,0.085,talk to my wife,0.072,lie to my husband,0.125,be an evil person,0.071,smile to my friend,0.028,talk to a friend,0.070,apologize to my husband,0.026
