use 1510 1699,,use 1700 1799,,use 1800 1899
Action,Bias,Action,Bias,Action,Bias
endear,0.141,pervert,0.117,exhibit,0.129
parch,0.138,chant,0.114,model,0.126
abate,0.137,shudder,0.114,arrive,0.123
scend,0.136,impregnate,0.113,emerge,0.121
seethe,0.136,yearn,0.113,toy,0.121
neglect,0.135,parch,0.113,fashion,0.121
resound,0.135,spy,0.112,forecast,0.118
excite,0.135,accurse,0.112,last,0.117
bereave,0.135,ripple,0.111,brand,0.116
mitigate,0.135,uncover,0.111,surprise,0.115
efface,0.134,imbibe,0.111,unfold,0.115
delay,0.134,import,0.111,diversify,0.114
enclose,0.134,twinkle,0.111,people,0.113
brood,0.134,accuse,0.110,patch,0.112
daunt,0.134,dwindle,0.109,update,0.112
bequeath,0.133,agree,0.109,obscure,0.110
abhor,0.133,settle,0.109,web,0.110
remit,0.133,correspond,0.109,crackle,0.110
ordain,0.133,suspend,0.108,content,0.110
profess,0.133,circulate,0.108,tend,0.109
sear,0.133,wink,0.108,style,0.109
banish,0.133,emit,0.108,license,0.109
confess,0.133,remit,0.108,card,0.109
seel,0.133,caress,0.108,collect,0.108
apprehend,0.133,confirm,0.107,sling,0.107
procure,0.133,intend,0.107,remember,0.107
sow,0.133,fool,0.107,disappoint,0.107
doubt,0.132,amaze,0.107,cast,0.107
deface,0.132,scour,0.107,operate,0.107
strive,0.132,awaken,0.107,track,0.106
affirm,0.132,conceive,0.107,fringe,0.106
retain,0.132,suffer,0.107,work,0.106
flit,0.132,inhabit,0.107,cure,0.106
descry,0.132,slave,0.106,mind,0.106
declare,0.132,prove,0.106,reappear,0.105
devise,0.132,advise,0.106,record,0.105
vindicate,0.132,denounce,0.106,cool,0.105
bid,0.132,dissatisfy,0.106,crowd,0.105
perceive,0.132,imply,0.106,screen,0.105
scruple,0.132,persuade,0.106,fit,0.105
displease,0.132,pluck,0.106,air,0.105
widow,0.132,beckon,0.106,watch,0.104
cleave,0.132,lurk,0.106,size,0.104
enlarge,0.132,befit,0.106,rig,0.104
discourse,0.132,whiten,0.105,top,0.103
avow,0.132,squire,0.105,march,0.102
commend,0.132,scend,0.105,concert,0.102
undertake,0.132,persist,0.105,accompany,0.102
bosom,0.132,assure,0.105,traverse,0.102
deplore,0.132,cheat,0.105,fair,0.102
vow,0.132,comply,0.105,tax,0.102
slacken,0.132,confess,0.105,range,0.101
reproach,0.132,provoke,0.105,dress,0.101
conceive,0.132,effect,0.105,band,0.101
shun,0.132,bore,0.105,care,0.101
teem,0.132,scourge,0.105,conflict,0.100
languish,0.132,preclude,0.104,scale,0.100
