use rc,,use 1800 1899,,use trc2
Action,Bias,Action,Bias,Action,Bias
mother,0.133,exhibit,0.129,occasion,0.156
shroud,0.131,model,0.126,honor,0.155
well,0.130,arrive,0.123,cure,0.155
accompany,0.129,toy,0.121,fair,0.153
credit,0.123,emerge,0.121,tour,0.152
celebrate,0.121,fashion,0.121,decide,0.151
grudge,0.120,forecast,0.118,assemble,0.150
queen,0.119,last,0.117,embark,0.146
recess,0.118,brand,0.116,glory,0.143
represent,0.116,surprise,0.115,plan,0.142
license,0.116,unfold,0.115,suppose,0.142
emancipate,0.115,diversify,0.114,course,0.141
dispatch,0.114,people,0.113,well,0.139
harry,0.114,patch,0.112,begin,0.138
restructure,0.114,update,0.112,beget,0.138
doctor,0.114,obscure,0.110,master,0.136
sex,0.113,web,0.110,people,0.136
channel,0.113,crackle,0.110,recess,0.135
church,0.112,content,0.110,busy,0.134
darken,0.111,license,0.109,remember,0.134
refinance,0.110,style,0.109,service,0.133
marry,0.110,tend,0.109,lot,0.133
resist,0.109,card,0.109,route,0.133
preclude,0.109,collect,0.108,rank,0.132
wive,0.108,remember,0.107,accompany,0.132
