use 1510 1699,,use 1700 1799,,use 1800 1899
Action,Bias,Action,Bias,Action,Bias
exchange,-0.062,clean,0.028,recur,-0.025
trim,-0.062,side,0.028,sojourn,-0.025
walk,-0.063,box,0.028,variegate,-0.025
disappear,-0.063,separate,0.027,usurp,-0.025
shave,-0.064,empty,0.027,awaken,-0.025
sink,-0.064,frame,0.026,accede,-0.025
water,-0.064,lift,0.026,wend,-0.025
cat,-0.066,intervene,0.026,embattle,-0.025
present,-0.066,eliminate,0.026,depute,-0.025
mail,-0.068,climb,0.025,weaken,-0.025
ice,-0.068,adjust,0.023,incur,-0.025
dry,-0.068,object,0.023,vindicate,-0.025
warehouse,-0.068,drive,0.023,succumb,-0.025
plaster,-0.070,wheel,0.023,sanction,-0.025
madden,-0.070,erase,0.022,dishearten,-0.025
single,-0.071,pose,0.022,condescend,-0.025
color,-0.071,pole,0.021,allude,-0.025
swing,-0.071,club,0.021,deem,-0.025
poll,-0.073,shoe,0.020,detach,-0.026
shower,-0.075,assist,0.016,mortify,-0.026
drag,-0.077,cord,0.015,promulgate,-0.026
sweep,-0.083,sweep,0.015,thrash,-0.026
dress,-0.084,organize,0.014,adhere,-0.027
deposit,-0.085,retail,0.007,disperse,-0.027
store,-0.089,tile,0.001,obliterate,-0.035
