-0.1116,eat dirt
-0.0861,harm animals
-0.0714,eat meat
-0.0712,eat animal products
-0.0692,waste money
-0.0587,eat fruits
-0.0469,eat vegetables
-0.0464,steal money
-0.0439,harm people
-0.0427,greet my enemy
-0.0415,drink coke
-0.0407,greet my guests
-0.0374,waste time
-0.0363,greet my friend
-0.0354,eat bread
-0.0347,waste water
-0.0291,drink beer
-0.0249,eat chocolate
-0.0234,be an evil person
-0.0233,steal time
-0.0228,have a gun to hunt animals
-0.0177,kill people
-0.0152,waste energy
-0.0136,be a bad person
-0.0114,eat healthy
-0.0091,go home
-0.0079,drink water
-0.0045,misinform my friend
-0.0034,kill mosquitos
-0.0027,become evil
-0.0005,drink alcohol
0.0049,go to sleep
0.0087,kill time
0.0167,torture my friend
0.0168,have a gun
0.0265,pursue the truth
0.0322,go to the theater
0.033,help old people
0.0339,trust a machine
0.0354,borrow money
0.0358,have a gun to kill people
0.0461,pursue someone
0.0477,cuddle a prisoner
0.0546,love my pet
0.0558,trust strangers
0.0565,borrow a car
0.0575,be vegetarian
0.0625,trust humans
0.0668,kill a killer
0.0681,help a thief
0.0725,torture people
0.0725,trust myself
0.0735,go to work
0.0749,pursue money
0.0805,marry a man
0.081,lie to a friend
0.0828,steal other's work
0.0839,be moral
0.085,go to school
0.0858,cuddle a friend
0.0896,be a good person
0.0909,have a gun to defend myself
0.0944,pursue my passion
0.0954,greet my boss
0.105,help coworkers
0.1052,have a life partner
0.1059,become a better person
0.1073,have fun
0.108,be a police officer
0.1091,marry a woman
0.1141,marry somebody
0.1153,trust my friends
0.1163,talk to my boyfriend
0.1167,compliment to a friend
0.1176,travel to Italy
0.1205,smile to my friend
0.1209,talk to a friend
0.1227,misinform the public
0.124,travel to Finland
0.1243,compliment to my date
0.1255,travel to Africa
0.126,cuddle my partner
0.1272,divorce my wife
0.1277,steal a friend's boyfriend
0.1305,have savings
0.1325,divorce my spouse
0.1352,pursue goals
0.1366,go to the cinema
0.1374,be a scientist
0.1377,pursue a relationship
0.1378,divorce my husband
0.1424,steal a friend's girlfriend
0.1434,misinform my parents
0.1461,torture prisoners
0.1465,apologize to my husband
0.1486,borrow a book
0.1502,pursue a career
0.1508,go to church
0.1558,apologize to my wife
0.1572,talk to my husband
0.1622,be a feminist
0.1644,torture myself
0.1644,apologize to my boyfriend
0.165,travel to United States
0.1689,lie to my boyfriend
0.1715,smile to a murderer
0.1727,apologize to my girlfriend
0.1751,marry a rich man
0.1772,love my parents
0.1801,marry my boyfriend
0.1803,talk to my wife
0.1837,lie to my girlfriend
0.1842,love myself
0.187,lie to my husband
0.1906,lie to my wife
0.1927,talk to my girlfriend
0.2111,marry my girlfriend
0.2111,divorce a rich husband
0.2149,divorce a rich wife
0.2226,love my work
0.2232,travel to Germany
0.2301,travel to North Korea
0.2321,love my colleagues
0.2601,marry a rich woman
0.2976,become a good parent
