use 1987,,use rcv1,,use trc2
Action,Bias,Action,Bias,Action,Bias
tempt,0.126,watch,0.103,occasion,0.156
afford,0.117,incorporate,0.102,honor,0.155
covet,0.116,record,0.089,cure,0.155
plunge,0.115,welcome,0.088,fair,0.153
glory,0.112,participate,0.084,tour,0.152
elicit,0.112,compete,0.084,decide,0.151
retrieve,0.110,assemble,0.082,assemble,0.150
associate,0.109,well,0.080,embark,0.146
adore,0.108,shroud,0.079,glory,0.143
convene,0.108,pledge,0.079,plan,0.142
bequeath,0.107,license,0.079,suppose,0.142
yearn,0.107,tune,0.078,course,0.141
belong,0.106,enlist,0.078,well,0.139
entail,0.105,premise,0.076,begin,0.138
skirmish,0.105,course,0.075,beget,0.138
exclude,0.104,pride,0.075,master,0.136
apply,0.104,evade,0.075,people,0.136
achieve,0.103,agree,0.074,recess,0.135
attract,0.103,score,0.073,busy,0.134
reside,0.103,celebrate,0.073,remember,0.134
ascend,0.103,make,0.072,service,0.133
exert,0.102,match,0.072,lot,0.133
revolt,0.102,suffer,0.071,route,0.133
behold,0.102,propose,0.071,rank,0.132
vow,0.102,intrigue,0.071,accompany,0.132
woo,0.102,implement,0.070,learn,0.132
induce,0.101,decide,0.070,camp,0.131
startle,0.101,convert,0.070,scourge,0.131
accumulate,0.101,endorse,0.069,coordinate,0.131
grin,0.101,institute,0.069,trip,0.130
attest,0.101,amuse,0.069,practice,0.130
rejoice,0.101,inspire,0.068,tempt,0.130
occasion,0.100,tempt,0.067,exemplify,0.130
prevail,0.100,resist,0.066,spirit,0.130
assemble,0.100,measure,0.066,propose,0.129
spend,0.099,submit,0.065,depend,0.129
suspend,0.099,engage,0.065,entail,0.129
prowl,0.099,concede,0.064,license,0.128
preclude,0.099,race,0.064,educate,0.127
bestow,0.099,happen,0.064,care,0.127
chance,0.098,thank,0.064,coast,0.127
oppose,0.098,suggest,0.063,form,0.126
borrow,0.098,compel,0.063,denote,0.126
trademark,0.098,raid,0.062,charm,0.126
ebb,0.098,extort,0.062,breakfast,0.126
plead,0.097,convene,0.062,linger,0.125
threaten,0.097,afford,0.062,benefit,0.125
dispatch,0.097,coach,0.062,originate,0.124
announce,0.097,contrast,0.062,happen,0.124
derive,0.097,threaten,0.061,crowd,0.124
embody,0.096,honor,0.061,tend,0.124
diverge,0.096,host,0.061,know,0.124
fascinate,0.096,guess,0.061,deem,0.124
endeavor,0.096,marry,0.061,participate,0.123
recruit,0.096,neighbor,0.061,contemplate,0.123
fit,0.096,choose,0.061,disturb,0.122
engage,0.096,laugh,0.059,amuse,0.122
well,0.096,subscribe,0.059,teach,0.122
whirl,0.096,congratulate,0.058,implement,0.122
frequent,0.096,dream,0.058,protect,0.122
notice,0.095,seduce,0.058,appreciate,0.121
propagate,0.095,revert,0.058,trouble,0.121
corroborate,0.095,launch,0.058,suspect,0.121
undergo,0.095,play,0.058,afford,0.121
amuse,0.095,remainder,0.058,save,0.121
fetch,0.095,stream,0.058,ask,0.120
come,0.095,apply,0.057,concert,0.120
amaze,0.094,act,0.057,purpose,0.120
envy,0.094,follow,0.057,dare,0.120
join,0.094,bring,0.056,procure,0.120
lurk,0.094,oppose,0.056,back,0.120
explore,0.094,come,0.056,mind,0.119
parch,0.094,behold,0.056,abound,0.119
impress,0.094,skirmish,0.055,subordinate,0.119
construct,0.094,rig,0.055,track,0.119
nod,0.094,regret,0.055,ping,0.119
size,0.093,appreciate,0.055,act,0.118
surmount,0.093,teem,0.055,elicit,0.118
commit,0.093,entail,0.055,prepare,0.118
decide,0.093,capture,0.054,incline,0.118
accompany,0.093,join,0.054,sting,0.117
arrive,0.093,master,0.054,liberate,0.117
burden,0.093,dye,0.054,help,0.117
scale,0.093,confirm,0.054,breed,0.117
march,0.093,direct,0.054,cheer,0.117
gain,0.093,chuckle,0.054,behold,0.117
interest,0.093,move,0.053,commemorate,0.117
host,0.093,bob,0.053,move,0.116
subscribe,0.093,suppose,0.053,work,0.116
excite,0.092,cast,0.053,farm,0.116
migrate,0.092,vote,0.053,reach,0.116
vein,0.092,hail,0.053,prevent,0.116
owe,0.092,yearn,0.052,award,0.116
own,0.092,track,0.052,hear,0.116
adjoin,0.092,felt,0.052,reckon,0.115
intrigue,0.092,cheer,0.052,attest,0.115
possess,0.092,plead,0.052,skirmish,0.115
equip,0.092,anchor,0.052,place,0.115
extinguish,0.091,authorize,0.052,process,0.115
encroach,0.091,baptize,0.052,protest,0.115
welcome,0.091,allude,0.052,necessitate,0.115
absorb,0.091,pretend,0.052,chuckle,0.115
allude,0.091,captain,0.052,promote,0.115
plan,0.091,justify,0.052,intervene,0.114
buy,0.091,crowd,0.051,speed,0.114
love,0.091,coordinate,0.051,match,0.114
deal,0.091,trot,0.051,fashion,0.114
influence,0.091,show,0.051,guide,0.114
dare,0.091,negotiate,0.051,reason,0.114
premier,0.090,message,0.051,trail,0.113
implement,0.090,tie,0.051,conduct,0.113
inspire,0.090,differ,0.051,joke,0.113
operate,0.090,nominate,0.051,complain,0.113
access,0.090,ascend,0.050,oppose,0.113
rank,0.090,save,0.050,partake,0.112
resemble,0.090,flutter,0.050,side,0.112
invoke,0.090,peer,0.050,score,0.112
participate,0.090,extinguish,0.050,grin,0.112
culminate,0.090,stunt,0.050,brighten,0.112
quicken,0.089,glory,0.050,fear,0.112
master,0.089,eliminate,0.050,appropriate,0.112
fair,0.089,plunder,0.049,name,0.112
steep,0.089,file,0.049,possess,0.112
happen,0.089,acquire,0.049,compliment,0.112
top,0.089,copy,0.049,point,0.112
compliment,0.089,impregnate,0.049,crew,0.112
style,0.089,scout,0.049,threaten,0.112
laugh,0.089,plan,0.048,vow,0.111
