use 1987,,use rcv1,,use trc2
Action,Bias,Action,Bias,Action,Bias
smile to my friend,0.117,become a good parent,0.104,kill time,0.144
compliment to a friend,0.112,marry a rich woman,0.090,go to work,0.134
become a good parent,0.111,compliment to a friend,0.089,go to school,0.127
love my colleagues,0.102,smile to my friend,0.088,help coworkers,0.114
help coworkers,0.102,love myself,0.081,become a better person,0.107
greet my guests,0.100,pursue a relationship,0.079,waste time,0.107
marry my girlfriend,0.099,have a life partner,0.073,borrow money,0.104
trust my friends,0.096,marry somebody,0.073,be a good person,0.101
greet my friend,0.095,marry a woman,0.071,become a good parent,0.100
love myself,0.095,have fun,0.068,have a life partner,0.096
love my work,0.093,eat healthy,0.068,smile to my friend,0.095
greet my enemy,0.093,help coworkers,0.064,pursue a relationship,0.095
have a life partner,0.093,travel to United States,0.063,trust humans,0.093
pursue someone,0.090,talk to a friend,0.061,greet my boss,0.088
compliment to my date,0.090,be a good person,0.057,have fun,0.086
marry somebody,0.087,pursue someone,0.056,trust my friends,0.086
pursue goals,0.084,compliment to my date,0.056,love my pet,0.085
marry a rich woman,0.084,become a better person,0.055,marry somebody,0.085
marry my boyfriend,0.083,go to church,0.054,travel to Italy,0.085
pursue my passion,0.083,smile to a murderer,0.051,eat healthy,0.084
have fun,0.080,pursue goals,0.050,go home,0.083
love my parents,0.080,love my work,0.049,torture my friend,0.082
be vegetarian,0.079,marry a rich man,0.048,borrow a book,0.082
cuddle a friend,0.077,steal a friend's boyfriend,0.046,compliment to a friend,0.081
love my pet,0.076,marry my girlfriend,0.043,pursue someone,0.081
