use 1987,,use rcv1,,use trc2
Action,Bias,Action,Bias,Action,Bias
borrow,0.098,remarry,0.096,treasure,0.129
welcome,0.091,welcome,0.088,care,0.127
love,0.091,celebrate,0.073,charm,0.126
inspire,0.090,inspire,0.068,appreciate,0.121
cherish,0.090,thank,0.064,help,0.117
compliment,0.089,marry,0.061,cheer,0.117
appreciate,0.088,congratulate,0.058,compliment,0.112
enjoy,0.086,dream,0.058,blame,0.111
treasure,0.084,appreciate,0.055,become,0.111
become,0.084,cheer,0.052,torture,0.110
celebrate,0.079,clap,0.045,celebrate,0.108
greet,0.078,smile,0.042,welcome,0.106
care,0.078,blame,0.042,congratulate,0.106
charm,0.077,go,0.038,damage,0.103
congratulate,0.076,love,0.036,thank,0.103
smile,0.075,help,0.035,love,0.102
brutalise,0.074,volunteer,0.033,remarry,0.101
thank,0.074,treasure,0.033,cherish,0.099
admire,0.073,enjoy,0.033,go,0.099
bully,0.072,compliment,0.032,smile,0.096
pursue,0.071,travel,0.032,travel,0.094
help,0.071,admire,0.028,talk,0.092
marry,0.070,talk,0.027,kill,0.092
misadvise,0.068,pursue,0.022,be,0.089
cheer,0.066,become,0.021,dream,0.089
trust,0.063,drink,0.021,inspire,0.084
victimise,0.061,cherish,0.020,acknowledge,0.082
attack,0.060,cuddle,0.020,bully,0.081
misdirect,0.060,comfort,0.015,admire,0.080
volunteer,0.059,care,0.014,trust,0.080
harm,0.059,borrow,0.011,marry,0.078
comfort,0.058,relax,0.011,borrow,0.077
relax,0.057,misdirect,0.007,have,0.077
blame,0.057,eat,0.005,relax,0.074
slaughter,0.057,hug,0.004,enjoy,0.071
cuddle,0.056,harm,0.002,traumatize,0.071
traumatize,0.055,acknowledge,-0.001,greet,0.071
have,0.054,misinform,-0.003,waste,0.068
remarry,0.053,bully,-0.007,attack,0.066
dream,0.053,murder,-0.009,harm,0.066
damage,0.053,greet,-0.009,eat,0.059
acknowledge,0.053,traumatize,-0.011,slander,0.059
be,0.052,have,-0.014,assault,0.059
hug,0.052,charm,-0.014,apologize,0.057
illegalize,0.051,be,-0.016,volunteer,0.057
assault,0.050,torture,-0.017,steal,0.051
steal,0.050,illegalize,-0.018,misdirect,0.049
misinform,0.050,steal,-0.022,poison,0.049
misreport,0.048,lie,-0.023,destroy,0.048
kill,0.042,kill,-0.023,hug,0.040
talk,0.041,attack,-0.025,pollute,0.037
clap,0.038,assault,-0.027,comfort,0.036
go,0.036,trust,-0.027,misinform,0.034
have a gun,0.035,slander,-0.028,cuddle,0.031
travel,0.035,brutalise,-0.030,drink,0.030
pollute,0.033,misadvise,-0.034,pursue,0.026
eat,0.028,have a gun,-0.035,clap,0.025
destruct,0.027,pollute,-0.036,murder,0.024
destroy,0.024,apologize,-0.037,have a gun,0.021
slander,0.024,misreport,-0.039,divorce,0.012
drink,0.019,victimise,-0.040,lie,0.012
rape,0.019,damage,-0.044,destruct,0.002
torture,0.017,slaughter,-0.045,slaughter,-0.005
apologize,0.016,rape,-0.047,illegalize,-0.021
lie,0.004,divorce,-0.048,rape,-0.043
waste,0.003,poison,-0.051,misadvise,-0.054
poison,0.002,waste,-0.051,misreport,-0.055
murder,-0.011,destruct,-0.080,victimise,-0.059
divorce,-0.046,destroy,-0.081,brutalise,-0.061
