use 1800 1809,,use 1810 1819,,use 1820 1829,,use 1830 1839,,use 1840 1849,,use 1850 1859,,use 1860 1869,,use 1870 1879,,use 1880 1889,,use 1890 1899
Action,Bias,Action,Bias,Action,Bias,Action,Bias,Action,Bias,Action,Bias,Action,Bias,Action,Bias,Action,Bias,Action,Bias
vindicate,0.241,refinance,0.163,shroud,0.128,dissatisfy,0.158,license,0.121,prevail,0.248,regiment,0.173,frequent,0.061,borrow,0.106,conquer,0.065
parch,0.241,license,0.151,forecast,0.125,shill,0.157,indict,0.108,divest,0.247,gleam,0.172,hawk,0.057,diversify,0.095,revolve,0.061
shun,0.240,verge,0.137,refinance,0.107,host,0.155,cruise,0.100,par,0.239,repose,0.168,conclude,0.057,attest,0.088,chamber,0.060
inaugurate,0.240,forecast,0.126,follow,0.106,annex,0.152,endorse,0.096,repudiate,0.239,perceive,0.166,bustle,0.056,impeach,0.086,ripple,0.059
correspond,0.240,lurk,0.126,recess,0.104,wan,0.152,date,0.095,profess,0.238,betray,0.165,moon,0.056,chant,0.086,count,0.058
recede,0.240,earn,0.124,reel,0.103,verge,0.152,permit,0.089,rivet,0.237,ting,0.165,consist,0.056,upgrade,0.084,emancipate,0.055
endear,0.239,borrow,0.123,chant,0.102,endeavor,0.150,fringe,0.089,correspond,0.237,forget,0.164,doubt,0.054,surge,0.084,excite,0.055
quench,0.238,credit,0.117,honor,0.101,ripple,0.149,recruit,0.088,diffuse,0.236,trace,0.164,admit,0.053,decay,0.083,glory,0.055
gleam,0.238,endorse,0.113,regard,0.100,accurse,0.148,score,0.088,suffer,0.236,absent,0.164,resent,0.053,resent,0.082,exempt,0.054
darken,0.238,love,0.113,coincide,0.099,trace,0.148,crest,0.086,reconcile,0.236,inhabit,0.164,prevail,0.052,grudge,0.081,recall,0.054
seclude,0.238,madden,0.111,cast,0.098,parch,0.148,volunteer,0.084,declare,0.236,owe,0.163,refinance,0.052,rivet,0.081,hail,0.054
beset,0.238,own,0.111,remember,0.098,narrate,0.147,rifle,0.084,admit,0.235,exceed,0.163,parch,0.052,accurse,0.081,amuse,0.054
remit,0.238,honor,0.106,impregnate,0.098,purpose,0.147,restructure,0.084,confine,0.235,par,0.163,wreathe,0.051,retreat,0.081,dawn,0.053
represent,0.237,like,0.106,chap,0.097,adore,0.146,shill,0.082,trace,0.233,prevail,0.163,par,0.051,fund,0.081,storm,0.053
