use 1987,,use rcv1,,use trc2
Action,Bias,Action,Bias,Action,Bias
smile to my friend,0.117,become a good parent,0.104,kill time,0.144
compliment to a friend,0.112,marry a rich woman,0.090,go to work,0.134
become a good parent,0.111,compliment to a friend,0.089,go to school,0.127
love my colleagues,0.102,smile to my friend,0.088,help coworkers,0.114
help coworkers,0.102,love myself,0.081,become a better person,0.107
greet my guests,0.100,pursue a relationship,0.079,waste time,0.107
marry my girlfriend,0.099,have a life partner,0.073,borrow money,0.104
trust my friends,0.096,marry somebody,0.073,be a good person,0.101
greet my friend,0.095,marry a woman,0.071,become a good parent,0.100
love myself,0.095,have fun,0.068,have a life partner,0.096
love my work,0.093,eat healthy,0.068,smile to my friend,0.095
greet my enemy,0.093,help coworkers,0.064,pursue a relationship,0.095
have a life partner,0.093,travel to United States,0.063,trust humans,0.093
pursue someone,0.090,talk to a friend,0.061,greet my boss,0.088
compliment to my date,0.090,be a good person,0.057,have fun,0.086
marry somebody,0.087,pursue someone,0.056,trust my friends,0.086
pursue goals,0.084,compliment to my date,0.056,love my pet,0.085
marry a rich woman,0.084,become a better person,0.055,marry somebody,0.085
marry my boyfriend,0.083,go to church,0.054,travel to Italy,0.085
pursue my passion,0.083,smile to a murderer,0.051,eat healthy,0.084
have fun,0.080,pursue goals,0.050,go home,0.083
love my parents,0.080,love my work,0.049,torture my friend,0.082
be vegetarian,0.079,marry a rich man,0.048,borrow a book,0.082
cuddle a friend,0.077,steal a friend's boyfriend,0.046,compliment to a friend,0.081
love my pet,0.076,marry my girlfriend,0.043,pursue someone,0.081
pursue a relationship,0.076,cuddle my partner,0.043,waste money,0.080
be moral,0.076,cuddle a friend,0.038,go to church,0.080
greet my boss,0.075,marry a man,0.037,marry a woman,0.080
cuddle my partner,0.074,help a thief,0.037,love my work,0.078
steal a friend's girlfriend,0.074,be a scientist,0.036,help old people,0.078
be a good person,0.073,lie to a friend,0.036,compliment to my date,0.077
talk to a friend,0.072,marry my boyfriend,0.035,talk to a friend,0.075
borrow money,0.072,be vegetarian,0.034,travel to Africa,0.073
talk to my wife,0.071,help old people,0.031,steal time,0.073
marry a rich man,0.071,go to school,0.030,talk to my boyfriend,0.071
misinform my friend,0.070,talk to my girlfriend,0.030,be a scientist,0.071
marry a woman,0.069,borrow a book,0.029,marry a rich woman,0.070
be a scientist,0.069,be a feminist,0.029,marry a man,0.070
talk to my girlfriend,0.069,greet my friend,0.028,marry my boyfriend,0.069
travel to United States,0.068,drink alcohol,0.027,travel to United States,0.068
talk to my husband,0.068,steal a friend's girlfriend,0.027,pursue my passion,0.066
misinform my parents,0.066,talk to my wife,0.025,torture prisoners,0.066
pursue money,0.066,greet my boss,0.025,greet my guests,0.065
marry a man,0.065,be a police officer,0.025,pursue goals,0.065
become a better person,0.065,divorce a rich wife,0.023,travel to Germany,0.064
steal a friend's boyfriend,0.065,greet my guests,0.022,greet my friend,0.064
be a feminist,0.064,love my colleagues,0.021,be a feminist,0.063
borrow a book,0.063,travel to Germany,0.019,marry a rich man,0.060
waste energy,0.062,travel to Africa,0.017,kill a killer,0.060
help old people,0.062,go to the theater,0.016,help a thief,0.059
kill time,0.062,go to work,0.015,go to the theater,0.059
travel to Italy,0.061,drink beer,0.015,torture people,0.059
talk to my boyfriend,0.057,talk to my boyfriend,0.015,be moral,0.058
steal other's work,0.055,misinform the public,0.013,talk to my husband,0.057
lie to my husband,0.055,divorce a rich husband,0.012,waste energy,0.054
misinform the public,0.055,eat chocolate,0.011,trust a machine,0.053
eat healthy,0.054,talk to my husband,0.010,steal a friend's boyfriend,0.053
trust myself,0.054,love my pet,0.005,love myself,0.053
help a thief,0.054,lie to my girlfriend,0.003,talk to my girlfriend,0.053
steal time,0.054,drink water,0.003,harm people,0.051
kill mosquitos,0.053,pursue a career,0.002,marry my girlfriend,0.049
have savings,0.051,eat fruits,0.002,cuddle a friend,0.049
lie to my wife,0.051,pursue my passion,0.001,pursue money,0.048
smile to a murderer,0.049,steal other's work,0.000,go to the cinema,0.047
lie to a friend,0.049,travel to Italy,-0.000,be vegetarian,0.046
travel to Germany,0.048,eat vegetables,-0.001,cuddle my partner,0.044
become evil,0.046,go home,-0.002,become evil,0.044
