use 1800 1809,,use 1810 1819,,use 1820 1829,,use 1830 1839,,use 1840 1849,,use 1850 1859,,use 1860 1869,,use 1870 1879,,use 1880 1889,,use 1890 1899
Action,Bias,Action,Bias,Action,Bias,Action,Bias,Action,Bias,Action,Bias,Action,Bias,Action,Bias,Action,Bias,Action,Bias
trust myself,0.232,pursue a career,0.140,love my parents,0.121,pursue money,0.159,marry a rich woman,0.149,love myself,0.235,marry a rich woman,0.172,marry a rich woman,0.103,marry a rich man,0.128,marry a rich woman,0.070
pursue the truth,0.230,divorce a rich husband,0.137,love my colleagues,0.119,misinform my parents,0.153,marry my boyfriend,0.142,torture myself,0.233,torture myself,0.168,trust strangers,0.085,marry a rich woman,0.124,travel to Italy,0.060
torture myself,0.230,lie to a friend,0.136,torture my friend,0.117,torture prisoners,0.149,marry a rich man,0.136,trust myself,0.232,trust myself,0.167,divorce a rich wife,0.081,borrow money,0.117,greet my boss,0.054
travel to Italy,0.218,love my colleagues,0.131,compliment to a friend,0.115,love my work,0.143,smile to a murderer,0.133,marry a rich man,0.230,love myself,0.163,marry a rich man,0.079,pursue a relationship,0.103,marry my girlfriend,0.054
be moral,0.216,steal a friend's boyfriend,0.129,trust my friends,0.111,pursue goals,0.143,love my colleagues,0.128,pursue the truth,0.225,have a gun to defend myself,0.162,love myself,0.078,borrow a book,0.101,marry my boyfriend,0.054
pursue my passion,0.213,divorce a rich wife,0.128,travel to Germany,0.110,pursue the truth,0.143,lie to my boyfriend,0.125,borrow a book,0.222,marry a rich man,0.162,have a gun to defend myself,0.076,misinform my parents,0.099,travel to Germany,0.051
travel to Finland,0.209,steal a friend's girlfriend,0.125,marry a rich woman,0.107,trust my friends,0.143,marry my girlfriend,0.124,greet my enemy,0.214,be moral,0.154,divorce my wife,0.068,become a good parent,0.099,travel to Finland,0.050
pursue goals,0.204,pursue a relationship,0.124,misinform my friend,0.104,misinform the public,0.138,love my parents,0.113,pursue my passion,0.213,travel to Finland,0.152,divorce a rich husband,0.065,divorce a rich wife,0.099,talk to my wife,0.049
greet my enemy,0.202,marry a rich woman,0.116,pursue a relationship,0.103,pursue my passion,0.137,borrow a book,0.111,trust my friends,0.209,become a good parent,0.151,trust myself,0.059,marry my boyfriend,0.097,marry somebody,0.049
compliment to my date,0.201,marry my boyfriend,0.110,marry my boyfriend,0.103,compliment to my date,0.136,lie to my girlfriend,0.110,have a gun to defend myself,0.206,greet my enemy,0.149,greet my boss,0.058,divorce a rich husband,0.096,trust myself,0.047
pursue a career,0.201,smile to a murderer,0.105,marry my girlfriend,0.102,divorce a rich wife,0.136,travel to North Korea,0.109,be moral,0.204,pursue my passion,0.149,be a police officer,0.058,greet my guests,0.094,love my work,0.047
trust my friends,0.201,marry a rich man,0.103,borrow a book,0.102,become a good parent,0.135,travel to United States,0.108,love my colleagues,0.198,love my work,0.148,divorce my spouse,0.057,steal other's work,0.092,compliment to my date,0.045
travel to Germany,0.198,borrow money,0.103,smile to my friend,0.101,compliment to a friend,0.133,misinform my parents,0.107,pursue goals,0.195,trust my friends,0.145,marry my girlfriend,0.057,marry a man,0.090,talk to my girlfriend,0.045
divorce my spouse,0.198,become a good parent,0.100,trust humans,0.101,become a better person,0.131,lie to my husband,0.106,become a good parent,0.193,love my colleagues,0.141,cuddle a prisoner,0.057,talk to my wife,0.089,lie to my wife,0.045
pursue someone,0.189,become a better person,0.099,steal a friend's boyfriend,0.099,trust myself,0.130,be a police officer,0.105,love my work,0.192,travel to Italy,0.137,love my parents,0.057,compliment to a friend,0.089,trust my friends,0.045
torture prisoners,0.186,love my parents,0.096,travel to United States,0.098,travel to Germany,0.130,marry somebody,0.102,pursue money,0.192,compliment to my date,0.132,marry a woman,0.056,pursue money,0.087,love myself,0.045
pursue money,0.186,compliment to a friend,0.096,steal a friend's girlfriend,0.098,torture myself,0.126,steal other's work,0.100,love my parents,0.185,marry somebody,0.117,love my colleagues,0.055,marry my girlfriend,0.087,divorce a rich wife,0.044
pursue a relationship,0.186,have fun,0.094,travel to Italy,0.097,pursue a career,0.126,apologize to my girlfriend,0.099,compliment to my date,0.183,become evil,0.115,lie to my wife,0.055,talk to my husband,0.086,greet my enemy,0.044
apologize to my wife,0.182,greet my boss,0.093,greet my friend,0.096,greet my enemy,0.126,steal a friend's boyfriend,0.099,travel to Africa,0.175,have savings,0.112,have a gun to kill people,0.053,trust my friends,0.086,have a gun to defend myself,0.044
have a gun to defend myself,0.180,love my work,0.092,marry a rich man,0.096,divorce my spouse,0.122,talk to my boyfriend,0.098,divorce a rich wife,0.175,waste energy,0.111,marry my boyfriend,0.053,compliment to my date,0.085,love my colleagues,0.044
waste energy,0.179,marry somebody,0.092,talk to a friend,0.094,be moral,0.122,talk to my girlfriend,0.097,divorce a rich husband,0.172,greet my guests,0.110,become a good parent,0.051,greet my enemy,0.084,marry a rich man,0.043
misinform my friend,0.177,pursue money,0.090,borrow money,0.094,divorce a rich husband,0.120,lie to my wife,0.095,marry a rich woman,0.169,pursue the truth,0.107,smile to a murderer,0.050,apologize to my husband,0.084,divorce my wife,0.043
marry a rich woman,0.177,marry my girlfriend,0.089,greet my enemy,0.093,greet my boss,0.118,compliment to my date,0.092,marry a man,0.168,smile to a murderer,0.107,pursue my passion,0.046,apologize to my wife,0.084,marry a woman,0.042
become evil,0.174,have a life partner,0.088,greet my boss,0.088,divorce my wife,0.118,apologize to my boyfriend,0.091,pursue a relationship,0.163,greet my boss,0.106,have a gun to hunt animals,0.046,help a thief,0.083,borrow a book,0.041
greet my guests,0.173,greet my friend,0.087,marry somebody,0.088,greet my guests,0.117,marry a man,0.090,steal other's work,0.162,marry my girlfriend,0.106,talk to my wife,0.046,be a good person,0.083,greet my friend,0.041
