use 1987,,use rcv1,,use trc2
Action,Bias,Action,Bias,Action,Bias
eat dirt,-0.033,have a gun to hunt animals,-0.066,divorce my wife,-0.053
go to sleep,-0.029,have a gun to kill people,-0.066,eat dirt,-0.041
divorce my wife,-0.018,kill people,-0.065,divorce my spouse,-0.041
harm animals,-0.015,steal money,-0.065,eat animal products,-0.034
divorce my spouse,-0.015,waste water,-0.064,eat bread,-0.031
divorce my husband,-0.013,cuddle a prisoner,-0.063,divorce a rich wife,-0.027
drink water,0.000,harm animals,-0.061,divorce my husband,-0.026
eat animal products,0.002,apologize to my husband,-0.060,lie to my wife,-0.024
drink coke,0.004,trust strangers,-0.059,lie to my girlfriend,-0.021
have a gun to hunt animals,0.004,apologize to my boyfriend,-0.057,drink beer,-0.021
eat fruits,0.005,divorce my wife,-0.055,blame the economy,-0.019
trust strangers,0.008,waste money,-0.054,travel to Finland,-0.016
waste water,0.008,divorce my husband,-0.054,blame the media,-0.015
eat meat,0.008,waste energy,-0.052,eat meat,-0.015
drink alcohol,0.010,harm people,-0.051,drink alcohol,-0.014
divorce a rich wife,0.010,divorce my spouse,-0.050,have a gun to kill people,-0.009
drink beer,0.011,become evil,-0.050,divorce a rich husband,-0.008
divorce a rich husband,0.011,go to sleep,-0.048,trust myself,0.000
kill people,0.011,eat animal products,-0.047,lie to my husband,0.000
torture people,0.012,travel to Finland,-0.045,lie to a friend,0.000
be a bad person,0.013,eat dirt,-0.045,lie to my boyfriend,0.002
apologize to my boyfriend,0.015,eat meat,-0.043,eat fruits,0.006
cuddle a prisoner,0.016,apologize to my wife,-0.041,cuddle a prisoner,0.007
steal money,0.016,misinform my friend,-0.040,pursue a career,0.008
torture prisoners,0.017,kill a killer,-0.040,have savings,0.010
go home,0.018,torture prisoners,-0.039,apologize to my wife,0.011
eat chocolate,0.018,trust my friends,-0.037,steal money,0.011
blame the economy,0.021,have a gun,-0.035,go to sleep,0.012
eat bread,0.021,torture my friend,-0.034,drink coke,0.014
be a police officer,0.021,drink coke,-0.031,eat chocolate,0.015
torture my friend,0.021,pursue the truth,-0.030,have a gun to defend myself,0.015
lie to my girlfriend,0.023,apologize to my girlfriend,-0.029,steal a friend's girlfriend,0.016
go to church,0.023,trust myself,-0.028,drink water,0.017
have a gun to kill people,0.023,trust humans,-0.027,smile to a murderer,0.017
torture myself,0.026,torture myself,-0.025,apologize to my girlfriend,0.019
apologize to my girlfriend,0.026,be an evil person,-0.024,harm animals,0.019
pursue a career,0.026,torture people,-0.023,eat vegetables,0.020
